,index,count,cum_sum,cum_percent
429,Angebot im GOURMED,797,4149670,95.64087246162768
430,täglich im Angebot,797,4150467,95.65924157901578
431,Gemüse ,796,4151263,95.67758764857781
432,Kuchen,793,4152056,95.6958645746616
433, Hauptgericht HK 2 ,790,4152846,95.71407235726713
434,Tagesangebot 3,779,4153625,95.73202661378573
435,Info 1,778,4154403,95.74995782247827
436,Aktionsessen 7,777,4155180,95.76786598334472
437,Spätausgabe und Abendessen,770,4155950,95.78561280942859
438,Menü 1 mit drei Beilagen,767,4156717,95.80329049203421
439,Pizza II,763,4157480,95.8208759833355
440, Stärkebeilage 2 ,762,4158242,95.8384384268107
441,Tellergericht Schnitzel,756,4158998,95.85586258332941
442,[pizza]werkPizza11-14 Uhr,755,4159753,95.87326369202204
443,Burger der Woche,755,4160508,95.89066480071466
444,...Frühstück...,753,4161261,95.90801981375513
445,Gut und Günstig,750,4162011,95.92530568331735
446,Gemüsbeilagen,742,4162753,95.94240717027088
447,Salattheke,736,4163489,95.95937037026793
448,Mensa Vital,733,4164222,95.97626442678674
449,xXx cafete⁵⁵ xXx,732,4164954,95.99313543547946
450,Tagesangebot / Theke 2,731,4165685,96.00998339634609
451,[pizza]werk Pizza 11-14 Uhr,727,4166412,96.0267391659084
452,Komponente 2,726,4167138,96.04347188764461
453,Mittag Ausgabe C2,725,4167863,96.06018156155474
454,Burger Classic,721,4168584,96.07679904416055
455,Tellergericht 3,718,4169302,96.0933473832881
456,Mensacafé (Abendessen),714,4170016,96.10980353111134
457,xXx Cafeteria StrNa xXx,712,4170728,96.1262135832824
458,StuBistro Eintopf,706,4171434,96.14248534849696
459,Beilagen vorport.,703,4172137,96.15868797023327
460,Spezialitätenbuffet,693,4172830,96.17466011370875
461,Standard,692,4173522,96.19060920935816
462,Green Corner,688,4174210,96.20646611370323
463,CampusCurry,687,4174897,96.22229997022221
464,Vollwert  &  Co. Stärke,686,4175583,96.23811077891511
465,Biogericht 2,685,4176268,96.25389853978193
466,Al dente,685,4176953,96.26968630064874
467,natürlich fit,685,4177638,96.28547406151557
468,Heiße Theke,684,4178322,96.30123877455631
469,Salatbar,680,4179002,96.3169112962927
470,mensaVital Vegan,680,4179682,96.33258381802912
471,Tellergericht 4,679,4180361,96.34823329193944
472,Pasta und Gratins,668,4181029,96.36362923976284
473,Med by you,664,4181693,96.37893299628193
474,Kartoffeln und Co.,660,4182353,96.39414456149667
475,Rechts,657,4183010,96.40928698323317
476,Mitte,655,4183665,96.42438330931749
477,Beilage 1 ,653,4184318,96.43943353974966
478,Menüvorschlag vegetarisch / Theke 1 + 6,653,4184971,96.45448377018184
479,Studentenfutter,649,4185620,96.46944180930966
480,Fitnesscenter,649,4186269,96.48439984843749
481,Stammessen,649,4186918,96.49935788756532
482,Linie 4,649,4187567,96.51431592669316
483,[kœri]werk11-14 Uhr,646,4188213,96.52920482234275
484,Menu 2,618,4188831,96.54344837886201
485,Turm Vegan Kombi,618,4189449,96.55769193538127
486,Tagesangebot - Nur solange der Vorrat reicht,608,4190057,96.57170501363971
487,Abendessen 1,608,4190665,96.58571809189813
488,Wahlbuffet Grill,607,4191272,96.59970812233048
489,Vital-Linie,607,4191879,96.61369815276284
490,Classic Express,607,4192486,96.62768818319518
491,Grillgericht I,605,4193091,96.64163211797538
492,Turm 3a,604,4193695,96.65555300492947
493,Cafeteria belegte Brötchen,600,4194295,96.66938170057924
