,index,count,cum_sum,cum_percent,meal_super_category
1918,Pizza .,2,4369456,99.98652188,
1919,Imbiss 5,2,4369458,99.98656764,
1920,Angebot1,2,4369460,99.98661341,
1921,Schnitzelburger,2,4369462,99.98665918,
1922,Angebot  1,2,4369464,99.98670494,
1923,Grillmenü 2,2,4369466,99.98675071,
1924,Nudeltheke von 11.00 - 14.00 Uhr,2,4369468,99.98679647,
1925,Abendangebot-ab 15.00 Uhr,2,4369470,99.98684224,
1926,Wok-Station,2,4369472,99.98688801,
1927,"Seelachsfilet mit Sesamkruste auf Rahmgemüse, dazu Salzkartoffeln (für Vegetarier",2,4369474,99.98693377,
1928,Fish and Chips,2,4369476,99.98697954,
1929,WM Essen-USA,2,4369478,99.98702531,
1930,Cafeteria Angebot von 8:00 -16:30 Uhr,2,4369480,99.98707107,
1931,Wahlbuffet Spargel,2,4369482,99.98711684,
1932,Menü Hamburger woche,2,4369484,99.9871626,
1933,Cafeteria Angebot von 8:00 - 16:30 Uhr :,2,4369486,99.98720837,
1934,Jambalaya,2,4369488,99.98725414,
1935,Saganaki Feta,2,4369490,99.9872999,
1936,Rakott krumpli,2,4369492,99.98734567,
1937,EM Aktion Frankreich,2,4369494,99.98739143,
1938,Tagessupe,2,4369496,99.9874372,
1939,Bacon-Cheese Burger,2,4369498,99.98748297,
1940,Menü 2 Aktionswoche,2,4369500,99.98752873,
1941,Auf der Terrasse,2,4369502,99.9875745,
1942,Vegetarisch Fisch Vegan MSC Fisch,2,4369504,99.98762026,
1943,Speisenangebot3,2,4369506,99.98766603,
1944,Info 4,2,4369508,99.9877118,
1945,"  Gers­toni Kürbis-Curry (a)        1,80 € / 3,15 €  ",2,4369510,99.98775756,
1946,"  Bio-Tortellini (a)       Bio-Tomaten­sauce (f)       1,95 € / 3,30 €  ",2,4369512,99.98780333,
1947,"  Falafel mit Persi­schem Reis, Pinien­kernen und Pfirsich-Tomaten­chutney (3,a,k,m)       2,25 € / 3,60 €  ",2,4369514,99.9878491,
1948,Surf & Turf,2,4369516,99.98789486,
1949,"Putenstreifen mit Ananas, Pfirsich und knackigem Gemüse in Curry, dazu gebratene Nudeln (Auch fleischlos möglich",2,4369518,99.98794063,
1950,"!Ausgabe an einem neuen Ort! Hausgemachte Pasta, heute",2,4369520,99.98798639,
1951,Nudreltheke,2,4369522,99.98803216,
1952,Hausgemachtes Sushi >> Wochenaktion,2,4369524,99.98807793,
1953,Ausgabe 1 Weihnachtsessen,2,4369526,99.98812369,
1954,Ausgabe 1 Weihnachtsessen Fleischlose Alternative,2,4369528,99.98816946,
1955,Grillstation 3,2,4369530,99.98821522,
1956,"  Bohnen-Zuc­chi­ni-Chili mit Voll­kornreis (3)        2,30 € / 3,65 €  ",2,4369532,99.98826099,
1957,"  Grün­kohl-Linsen-Kokos-Pfanne mit Curry­kartoffeln (2,3,a,k)        2,25 € / 3,60 €  ",2,4369534,99.98830676,
1958,Tagesangebot Cafeteria Zebradiele,2,4369536,99.98835252,
1959,"  Bolly­wood-Kartoffel­curry mit Brokkoli und Mohn (1,f)        1,80 € / 3,15 €  ",2,4369538,99.98839829,
1960,"  Tortellini­salat mit klarem Pesto­dressing (2,3,a,e,h,i,k)        2,40 € / 3,75 €  ",2,4369540,99.98844405,
1961,"  Vegane Bulette Berliner Art mit geschmorten Zwiebeln und Äpfeln (f,j)       2,25 € / 3,60 €  ",2,4369542,99.98848982,
1962,"  Auber­ginen im Hafer­f­lo­cken­mantel mit Toma­tensauce und Gemü­se­bulgur (a)       2,30 € / 3,65 €  ",2,4369544,99.98853559,
1963,Pasta wahlweise,2,4369546,99.98858135,
1964,Heute,2,4369548,99.98862712,
1965,"  Gers­toni Bratling mit Möhren (a,f)      Tomatendip       1,50 € / 3,10 €  ",2,4369550,99.98867289,
1966,Pastasoße wahlweise mit,2,4369552,99.98871865,
1967,Unser Angebot To Go,2,4369554,99.98876442,
1968,"  Tagliatelle an Rucola-Nuss­pesto mit Pinien­kernen, dazu eine Grill­tomate (a,h)        2,40 € / 3,75 €  ",2,4369556,99.98881018,
1969,Aktion zum Tschechischen Tag,2,4369558,99.98885595,
1970,"  Falafel-Qui­noa­burger (2,3,5,a,f,m)        2,60 € / 3,95 €  ",2,4369560,99.98890172,
1971,Südamerika,1,4369561,99.9889246,
1972,xGrilltheke,1,4369562,99.98894748,
1973,"Hausgemachte  Pasta, heute",1,4369563,99.98897037,
1974,Land Kolumbien,1,4369564,99.98899325,
1975,Aktionsessen / Tagespreis,1,4369565,99.98901613,
1976,Land Elfenbeinküste,1,4369566,99.98903901,
1977,Cafeteria Angebot von 11:00 14:30 Uhr:,1,4369567,99.9890619,
1978,"An der Ausgabe ""WOK""",1,4369568,99.98908478,
1979,Komponente 5 - vegan,1,4369569,99.98910766,
1980,Cafeteria Angebot  von 8:00-15:00 Uhr,1,4369570,99.98913055,
1981,"Kräuterquark mit Butter, Petersilienkartoffeln und Salat (Leberwurst zum Zukauf",1,4369571,99.98915343,
1982,Land Australien,1,4369572,99.98917631,
1983,Land Japan,1,4369573,99.9891992,
1984,"Azubi in Aktion, heute",1,4369574,99.98922208,
1985,Komponente 6,1,4369575,99.98924496,
